Nisza,Nazwa firmy,Miasto,Telefon,Ilość opini,Jakość biznesu (1-5),Czy mają stronę?,Facebook/Instagram/Booksy,Odebrał?,Zainteresowany?,Kto dzwonił,Reminder,Termin call,Termin Google Meet (w),Notatki,,,,,,
Fryzjer,M.E.N.,Piotrków Trybunalski,577127999,24,1,Nie,-,Tak,Oddzwonic,Sylwester,Oddzwonić!,10.07.2026,,kocur,,,PODSUMOWANIE CALLI,,PODSUMOWANIE:,
Fryzjer,Agat. Salon fryzjerski,Piotrków Trybunalski,600859122,49,1,Nie,-,Nie,SMS,Nikodem,,,,,,,sylwos:,16,Dopięte,0
Fryzjer,"Salon Fryzjerski ""EWA""",Piotrków Trybunalski,446471383,14,1,Nie,-,Tak,Nie,Nikodem,,,,dziwka,,,nini:,27,Potencjal,5
Fryzjer,U Pawła. Zakład fryzjerski. Kacprzyk P.,Piotrków Trybunalski,502087688,13,1,Nie,-,Tak,Nie,Sylwester,,,,,,,,,Free kaska,1250
Fryzjer,Salon fryzjerski MAGDA,Sulejów,446172702,25,1,Nie,Facebook,Tak,Nie,Nikodem,,,,,,,,,monthly kaska śrendio,500
Fryzjer,"Salon Fryzjerski ""Twój Styl"" Kamila Grabowska",Tomaszów Mazowiecki,501555686,35,1,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Salon Fryzjerski Beata,Rozprza,609081163,28,1,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Zakład Fryzjerski Ireneusz Zając,Tomaszów Mazowiecki,506713135,50,1,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,EM Barber Studio Bełchatów,Bełchatów,572190198,20,1,Nie,-,Nie,SMS,Sylwester,,,,,,,,,,
Fryzjer,Hair Studio,Piotrków Trybunalski,668167964,8,2,Nie,-,Nie,SMS,Sylwester,,,,,,,,,,
Fryzjer,"Salon Fryzjerski Męski ""Rafał""",Piotrków Trybunalski,505641036,90,2,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Wiśniewski Marcin. Zakład fryzjerski,Piotrków Trybunalski,502867431,53,2,Nie,-,Tak,Oddzwonic,Nikodem,Oddzwonić!,10.07.2026,,goat,,,,,,
Fryzjer,Salon fryzjerski,Piotrków Trybunalski,446466261,63,2,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Fryzjer Męski Edyta,Piotrków Trybunalski,505128904,138,2,Nie,-,Tak,Nie,Nikodem,,,,2sklepy,,,,,,
Fryzjer,Warsztat Fryzur Męskich,Piotrków Trybunalski,509748313,62,2,Nie,Facebook,Nie,SMS,Nikodem,,,,,,,,,,
Fryzjer,"Fryzjer Męski ""Michał""",Piotrków Trybunalski,519148294,39,2,Nie,-,Nie,SMS,Nikodem,,,,,,,,,,
Fryzjer,Fryzjer Męski Cezary Smolarek,Piotrków Trybunalski,501808207,20,2,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
