Firma,Miasto,Telefon,Czy mają własną stronę?,Strona WWW,Instagram,Facebook,Booksy,YouTube,TikTok,Jakość,Notatki scrapera
Foto Stachowiak - Fotograf - Piotrków Trybunalski Słowackiego 109,Piotrków Trybunalski,446466645,Tak,http://fotostachowiak.pl/,,,,,,,Ma własną stronę WWW (http://fotostachowiak.pl/). Maps: https://www.google.com/maps/place/Foto+Stachowiak+-+Fotograf+-+Piotrk%C3%B3w+Trybunalski+S%C5%82owackiego+109/data=!4m7!3m6!1s0x47198a9d28156fb9:0xa29d7e44efa186f6!8m2!3d51.4102071!4d19.669922!16s%2Fg%2F1tm67p4b!19sChIJuW8VKJ2KGUcR9oah70R-naI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Foto Stachowiak - Fotograf - Piotrków Trybunalski Słowackiego 23,Piotrków Trybunalski,446495270,Tak,http://fotostachowiak.pl/kontakt/,,,,,,,Ma własną stronę WWW (http://fotostachowiak.pl/kontakt/). Maps: https://www.google.com/maps/place/Foto+Stachowiak+-+Fotograf+-+Piotrk%C3%B3w+Trybunalski+S%C5%82owackiego+23/data=!4m7!3m6!1s0x47198a8e353637fb:0xf820607825d4b08!8m2!3d51.4093033!4d19.6863258!16s%2Fg%2F1tdc_f88!19sChIJ-zc2NY6KGUcRCEtdggcGgg8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Media&More studio fotograficzne,Piotrków Trybunalski,604951954,Tak,http://www.mediaandmore.pl/,Tak,Tak,,,,,Ma własną stronę WWW (http://www.mediaandmore.pl/). FB: https://www.facebook.com/mediamore/ | IG: https://www.instagram.com/mediaandmore.pl/ | Maps: https://www.google.com/maps/place/Media%26More+studio+fotograficzne/data=!4m7!3m6!1s0x47198a8ff10335a9:0x98f71d38990ceab0!8m2!3d51.40946!4d19.6827279!16s%2Fg%2F1hc42p61x!19sChIJqTUD8Y-KGUcRsOoMmTgd95g?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studio Fotograficzne Patryk Śpiewak,Piotrków Trybunalski,662007124,Nie,,Tak,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook + Instagram) i 51 opinii Google śr. 4.8 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/patrykspiewakfotografia/ | IG: https://www.instagram.com/pro_studio_01/ | Maps: https://www.google.com/maps/place/Studio+Fotograficzne+Patryk+%C5%9Apiewak/data=!4m7!3m6!1s0x4710a9d042df055f:0xb9f0a4b2de9fdbb4!8m2!3d51.4083568!4d19.6940034!16s%2Fg%2F11fs35m3vz!19sChIJXwXfQtCpEEcRtNuf3rKk8Lk?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
"Foto Stachowiak, Fotografia ślubna, Piotrków Trybunalski",Piotrków Trybunalski,446473906,Tak,http://fotostachowiak.pl/,,,,,,,"Ma własną stronę WWW (http://fotostachowiak.pl/). Maps: https://www.google.com/maps/place/Foto+Stachowiak,+Fotografia+%C5%9Blubna,+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198a8d2164ba6b:0xa78265053278d0ad!8m2!3d51.4088977!4d19.6963345!16s%2Fg%2F1vn_xq9d!19sChIJa7pkIY2KGUcRrdB4MgVlgqc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Izabela Duma Fotografia - reportaż z chrztu - fotografia noworodkowa ciążowa dziecięca rodzinna Piotrków Trybunalski,Piotrków Trybunalski,790210053,Tak,http://www.izabeladumafotografia.pl/,Tak,Tak,,,,,Ma własną stronę WWW (http://www.izabeladumafotografia.pl/). FB: https://www.facebook.com/izabeladumafotografia | IG: https://www.instagram.com/izabela.duma.fotografia/ | Maps: https://www.google.com/maps/place/Izabela+Duma+Fotografia+-+reporta%C5%BC+z+chrztu+-+fotografia+noworodkowa+ci%C4%85%C5%BCowa+dzieci%C4%99ca+rodzinna+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198bebb114257d:0x43cdf14865b39b66!8m2!3d51.4103605!4d19.6856044!16s%2Fg%2F11q3tgmkfl!19sChIJfSUUseuLGUcRZpuzZUjxzUM?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Fotografia Martyna Wychowałek,Piotrków Trybunalski,690496053,Nie,,,,,,,,"Uzupełniony profil Google (36 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala) — sprawdzić ręcznie przed telefonem.  Uwaga: domena http://www.wyszko-fotografia.pl/ z wizytówki Google nie odpowiada / wygląda na wygasłą (sprawdzone DNS) — realnie brak działającej strony. Maps: https://www.google.com/maps/place/Fotografia+Martyna+Wychowa%C5%82ek/data=!4m7!3m6!1s0x47198b23d64056c3:0x3f5ca34e12f5ac17!8m2!3d51.4107946!4d19.6700908!16s%2Fg%2F11v3_0yc3y!19sChIJw1ZA1iOLGUcRF6z1Ek6jXD8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
"Agencja Foto ""Abrakan""",Piotrków Trybunalski,,Nie,,,,,,,,"Uzupełniony profil Google (11 opinii, śr. 5.0), zdjęcia — ale brak Facebooka, Instagrama i Booksy (zweryfikowano). Maps: https://www.google.com/maps/place/Agencja+Foto+%22Abrakan%22/data=!4m7!3m6!1s0x47198a8fcc71afe5:0x8a99419da8d4eb2d!8m2!3d51.4090118!4d19.6855691!16s%2Fg%2F11h6g17s0z!19sChIJ5a9xzI-KGUcRLevUqJ1BmYo?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Tomfilm,Piotrków Trybunalski,782272888,Tak,http://tomfilm.pl/,,,,,,,Ma własną stronę WWW (http://tomfilm.pl/). Maps: https://www.google.com/maps/place/Tomfilm/data=!4m7!3m6!1s0x47198a8c20669fe9:0x7cf3e96743e3cef2!8m2!3d51.4107871!4d19.691979!16s%2Fg%2F12hk5_pfb!19sChIJ6Z9mIIyKGUcR8s7jQ2fp83w?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Czułość Światła Fotografia • Ela Jażdż,Piotrków Trybunalski,604624600,Tak,https://czuloscswiatla.pl/zadbaj-o-swoja-kobiecosc/,Tak,Tak,,,,,Ma własną stronę WWW (https://czuloscswiatla.pl/zadbaj-o-swoja-kobiecosc/). FB: https://www.facebook.com/czuloscswiata | IG: https://www.instagram.com/czuloscswiata/ | Maps: https://www.google.com/maps/place/Czu%C5%82o%C5%9B%C4%87+%C5%9Awiat%C5%82a+Fotografia+%E2%80%A2+Ela+Ja%C5%BCd%C5%BC/data=!4m7!3m6!1s0x471a2168b98a4e5f:0x50ea35d8821b32a4!8m2!3d51.4183913!4d19.6651816!16s%2Fg%2F11m603yyk3!19sChIJX06KuWghGkcRpDIbgtg16lA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
