Nisza,Nazwa firmy,Miasto,Telefon,Jakosc biznesu (1-5),Czy maja strone?,Odebral?,Zainteresowany?,Kto dzwonil,Reminder,Kiedy dzwonic,Termin Google Meet (w),Notatki
Fryzjer,M.E.N.,Piotrkow Trybunalski,577127999,1,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Agat. Salon fryzjerski,Piotrkow Trybunalski,600859122,1,Nie,Nie,Nie,Nikodem,,,,
Fryzjer,Salon Fryzjerski EWA,Piotrkow Trybunalski,446471383,1,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,U Pawla. Zaklad fryzjerski. Kacprzyk P.,Piotrkow Trybunalski,502087688,1,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Salon fryzjerski MAGDA,Sulejow,446172702,1,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Fryzjerski Twoj Styl Kamila Grabowska,Tomaszow Mazowiecki,501555686,1,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Salon Fryzjerski Beata,Rozprza,609081163,1,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Zaklad Fryzjerski Ireneusz Zajac,Tomaszow Mazowiecki,506713135,1,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,EM Barber Studio Belchatow,Belchatow,572190198,1,Nie,Nie,SMS,Sylwester,,,,
Fryzjer,Studio Top Styl,Piotrkow Trybunalski,447339880,1,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon fryzjerski U Szymona,Belchatow,605540666,1,Nie,-,,,,,,
Fryzjer,Hair Studio,Piotrkow Trybunalski,668167964,2,Nie,Nie,SMS,Sylwester,,,,
Fryzjer,Salon Fryzjerski Meski Rafal,Piotrkow Trybunalski,505641036,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Wisniewski Marcin. Zaklad fryzjerski,Piotrkow Trybunalski,502867431,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon fryzjerski,Piotrkow Trybunalski,446466261,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Fryzjer Meski Edyta,Piotrkow Trybunalski,505128904,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Warsztat Fryzur Meskich,Piotrkow Trybunalski,509748313,2,Nie,Nie,SMS,Nikodem,,,,
Fryzjer,Fryzjer Meski Michal,Piotrkow Trybunalski,519148294,2,Nie,Nie,SMS,Nikodem,,,,
Fryzjer,Fryzjer Meski Cezary Smolarek,Piotrkow Trybunalski,501808207,2,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Mobilne Uslugi Fryzjerskie - Beata Zablocka,Piotrkow Trybunalski,606246454,2,Tak,Nie,Nie,Strona,,,,
Fryzjer,Salon fryzjerski J.Ostrowski,Tomaszow Mazowiecki,513255258,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon fryzjerski Renata - fryzjer damsko-meski,Sulejow,501474419,2,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Mierzwa Robert. Zaklad fryzjerski,Tomaszow Mazowiecki,501586630,2,Nie,Tak,?,Nikodem,,,,
Fryzjer,Salon fryzjerski Malgorzata Kazub,Wola Krzysztoporska,501283597,2,Nie,Tak,Nie,Nikodem,,,,
