nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Kosmetologia Małgorzata Dolot SLOW AGING,669766469,Bełchatów,,https://www.facebook.com/profile.php?id=61579196435824,,,20,5.0,4,nowy,"brak www, aktywny FB, 20 opinii 5.0 - dzwonic pierwsi",https://www.google.com/maps/place/Kosmetologia+Ma%C5%82gorzata+Dolot+SLOW+AGING/data=!4m7!3m6!1s0x471a190077323227:0xd7a7d936f9530de0!8m2!3d51.3582579!4d19.368814!16s%2Fg%2F11ykvvb23w!19sChIJJzIydwAZGkcR4A1T-TbZp9c?authuser=0&hl=pl&rclk=1
Projekt WO!man Kosmetologia Estetyczna,667555115,Bełchatów,https://projektwoman.pl/,,https://www.instagram.com/projektwoman_kosmetologia/,,197,5.0,5,nowy,"ma wlasna strone www, 197 opinii 5.0",https://www.google.com/maps/place/Projekt+WO!man+Kosmetologia+Estetyczna/data=!4m7!3m6!1s0x471a19ad535bfa15:0x693a2bdcd17055b4!8m2!3d51.3636967!4d19.3720566!16s%2Fg%2F11j90_l0lz!19sChIJFfpbU60ZGkcRtFVw0dwrOmk?authuser=0&hl=pl&rclk=1
"Instytut Zdrowia i Urody YASUMI kosmetologia, masaże i SPA Bełchatów",798214240,Bełchatów,https://belchatow.yasumi.pl/,https://www.facebook.com/people/Yasumi-Be%C5%82chat%C3%B3w/100091625200537/,,,45,4.8,5,nowy,"ma wlasna strone www (siec YASUMI), 45 opinii 4.8","https://www.google.com/maps/place/Instytut+Zdrowia+i+Urody+YASUMI+kosmetologia,+masa%C5%BCe+i+SPA+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a19355f53cdf9:0x473c2d4b149c9710!8m2!3d51.3646186!4d19.3710127!16s%2Fg%2F11kpj5g5gr!19sChIJ-c1TXzUZGkcREJecFEstPEc?authuser=0&hl=pl&rclk=1"
Studio Urody - The Beauty Space - Salon Kosmetyczny,504307817,Bełchatów,,https://www.facebook.com/beautyspacelodz/,,,39,4.7,4,nowy,"domena beautyspace.pl zaparkowana (brak realnej strony), aktywny FB, 39 opinii 4.7 - dobry lead",https://www.google.com/maps/place/Studio+Urody+-+The+Beauty+Space+-+Salon+Kosmetyczny/data=!4m7!3m6!1s0x471a19e48a0c3c19:0x3a7b71eefb1f1811!8m2!3d51.3562466!4d19.370752!16s%2Fg%2F119w92cbm!19sChIJGTwMiuQZGkcRERgf--5xezo?authuser=0&hl=pl&rclk=1
Perfect look clinic Bełchatów,730130112,Bełchatów,http://perfectlook.clinic/,,https://www.instagram.com/perfectlookclinic_belchatow/,,25,4.8,5,nowy,"ma wlasna strone www, 25 opinii 4.8",https://www.google.com/maps/place/Perfect+look+clinic+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a19594b001029:0x408ed004d5186bc2!8m2!3d51.3645237!4d19.3751421!16s%2Fg%2F11p0l3dgb_!19sChIJKRAAS1kZGkcRwmsY1QTQjkA?authuser=0&hl=pl&rclk=1
Studio Urody Agnieszka Chojecka,501384330,Bełchatów,https://studiourodybelchatow.pl/,https://www.facebook.com/studiochojecka/,,,43,4.6,5,nowy,"ma wlasna strone www, 43 opinie 4.6",https://www.google.com/maps/place/Studio+Urody+Agnieszka+Chojecka/data=!4m7!3m6!1s0x471a19dfc4a88b2b:0x9cce97fc23341f4f!8m2!3d51.3666!4d19.3638386!16s%2Fg%2F1vfp6y_t!19sChIJK4uoxN8ZGkcRTx80I_yXzpw?authuser=0&hl=pl&rclk=1
"Veritas Derm. Kosmetologia Estetyczna. Depilacja laserowa, oczyszczanie wodorowe. Dermapen",888634033,Bełchatów,https://veritasderm.pl/,https://www.facebook.com/profile.php?id=100084963065675,https://www.instagram.com/veritasderm,https://booksy.com/pl-pl/161377_veritas-derm-kosmetologia-estetyczna_salon-kosmetyczny_25231_belchatow,58,5.0,5,nowy,"ma wlasna strone www + FB/IG/Booksy, 58 opinii 5.0","https://www.google.com/maps/place/Veritas+Derm.+Kosmetologia+Estetyczna.+Depilacja+laserowa,+oczyszczanie+wodorowe.+Dermapen/data=!4m7!3m6!1s0x471a192750ac2bcd:0x80bfb949b79d30ca!8m2!3d51.362676!4d19.366505!16s%2Fg%2F11jz9pj805!19sChIJzSusUCcZGkcRyjCdt0m5v4A?authuser=0&hl=pl&rclk=1"
La Femme Gabinet Kosmetyczny Justyna Iskra,667213872,Bełchatów,,,https://www.instagram.com/la_femme_kosmetologia/,,37,4.8,4,nowy,"brak www, aktywny Instagram, 37 opinii 4.8 - dobry lead",https://www.google.com/maps/place/La+Femme+Gabinet+Kosmetyczny+Justyna+Iskra/data=!4m7!3m6!1s0x471a19debfaf19d5:0xa87969756d5caf05!8m2!3d51.3678506!4d19.3760399!16s%2Fg%2F1tjfflj7!19sChIJ1Rmvv94ZGkcRBa9cbXVpeag?authuser=0&hl=pl&rclk=1
Studio VIVIEN Dorota Tóth,609447652,Bełchatów,http://www.studio-vivien.com/,,,,58,4.7,5,nowy,"ma wlasna strone www, 58 opinii 4.7",https://www.google.com/maps/place/Studio+VIVIEN+Dorota+T%C3%B3th/data=!4m7!3m6!1s0x471a17588014d63f:0xdd813f7d4a2f34cb!8m2!3d51.3636967!4d19.3720566!16s%2Fg%2F1th85wfm!19sChIJP9YUgFgXGkcRyzQvSn0_gd0?authuser=0&hl=pl&rclk=1
Lilari Kosmetologia Rozpara Bełchatów,570385900,Bełchatów,,https://www.facebook.com/lilari.kosmetologia.rozpara.belchatow/,https://www.instagram.com/lilari_kosmetologia/,,29,4.9,4,nowy,"brak www, aktywne FB+IG (356 obserw.), 29 opinii 4.9 - dobry lead",https://www.google.com/maps/place/Lilari+Kosmetologia+Rozpara+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a19fbe697c5ef:0xda262f5c2a8c65d7!8m2!3d51.3672221!4d19.3757131!16s%2Fg%2F11y6yhqzwf!19sChIJ78WX5vsZGkcR12WMKlwvJto?authuser=0&hl=pl&rclk=1
Salon Kosmetyczny Magnolia,509106309,Bełchatów,,https://www.facebook.com/p/Salon-Kosmetyczny-Magnolia-100063708123501/,https://www.instagram.com/salon.kosmetyczny.magnolia/,,10,4.9,4,nowy,"brak www, bardzo aktywny FB (1376 polubien), 10 opinii 4.9 - dobry lead",https://www.google.com/maps/place/Salon+Kosmetyczny+Magnolia/data=!4m7!3m6!1s0x471a170634199cbd:0x9de7b273b4227321!8m2!3d51.3539609!4d19.3466088!16s%2Fg%2F11h8bmf130!19sChIJvZwZNAYXGkcRIXMitHOy550?authuser=0&hl=pl&rclk=1
Medicus Salon fryzjersko - kosmetyczny,446331221,Bełchatów,,https://www.facebook.com/salonmedicus/,,,40,4.7,4,nowy,"brak www, aktywny FB, 40 opinii 4.7 - dobry lead",https://www.google.com/maps/place/Medicus+Salon+fryzjersko+-+kosmetyczny/data=!4m7!3m6!1s0x471a19dca0fffc6d:0x97f6ebb974ecc39c!8m2!3d51.3672177!4d19.3769751!16s%2Fg%2F1tfkjy2r!19sChIJbfz_oNwZGkcRnMPsdLnr9pc?authuser=0&hl=pl&rclk=1
Studio47 Kamila Rudzka,668971133,Bełchatów,,https://www.facebook.com/STUDIO47SalonKosmetyczny,,,15,4.7,4,nowy,"brak www, aktywny FB, 15 opinii 4.7",https://www.google.com/maps/place/Studio47+Kamila+Rudzka/data=!4m7!3m6!1s0x471a1b382cdef0f3:0x9d3204bc1c156c09!8m2!3d51.3408895!4d19.3676341!16s%2Fg%2F11pz2dkp5c!19sChIJ8_DeLDgbGkcRCWwVHLwEMp0?authuser=0&hl=pl&rclk=1
"Pro Harmonia - salon kosmetyczny, SPA",690626492,Bełchatów,https://www.proharmoniabelchatow.pl/,,,,31,4.5,5,nowy,"ma wlasna strone www, 31 opinii 4.5","https://www.google.com/maps/place/Pro+Harmonia+-+salon+kosmetyczny,+SPA/data=!4m7!3m6!1s0x471a19e73bd3680d:0x8963ef09b5b0ef21!8m2!3d51.3562261!4d19.3712549!16s%2Fg%2F11tghb526j!19sChIJDWjTO-cZGkcRIe-wtQnvY4k?authuser=0&hl=pl&rclk=1"
Opium Esencja Piękna Bełchatów,797755052,Bełchatów,,https://www.facebook.com/p/Opium-Esencja-Pi%C4%99kna-Be%C5%82chat%C3%B3w-100087590400026/,https://www.instagram.com/opium.esencjapiekabelchatow/,,16,4.3,4,nowy,"brak www, bardzo aktywny FB+IG (regularne posty), 16 opinii 4.3",https://www.google.com/maps/place/Opium+Esencja+Pi%C4%99kna+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a19377bcfcb87:0x8d37e8b2061914fb!8m2!3d51.3565017!4d19.3716627!16s%2Fg%2F11jzv7kzg5!19sChIJh8vPezcZGkcR-xQZBrLoN40?authuser=0&hl=pl&rclk=1
Kosmetologia Profesjonalna Anna Ratajczyk,,Bełchatów,,,,https://pasjaanna47.booksy.com/,14,5.0,4,nowy,"brak www, rezerwacje przez Booksy, 14 opinii 5.0 - dobry lead",https://www.google.com/maps/place/Kosmetologia+Profesjonalna+Anna+Ratajczyk/data=!4m7!3m6!1s0x471a178c55672c23:0x839055f61aa09bc5!8m2!3d51.3576366!4d19.3689476!16s%2Fg%2F11n1n73ssq!19sChIJIyxnVYwXGkcRxZugGvZVkIM?authuser=0&hl=pl&rclk=1
Coco-art Studio Paznokcia & Gabinet Kosmetyczny Chrzanowska Małgorzata,503653545,Bełchatów,,https://www.facebook.com/gabinetcocoart/,,,4,5.0,3,nowy,"brak www, ma FB ale niska aktywnosc (4 opinie 5.0)",https://www.google.com/maps/place/Coco-art+Studio+Paznokcia+%26+Gabinet+Kosmetyczny+Chrzanowska+Ma%C5%82gorzata/data=!4m7!3m6!1s0x471a19e486054af9:0xc4e9d70f09b4f640!8m2!3d51.3562399!4d19.3699673!16s%2Fg%2F1tdvhxyp!19sChIJ-UoFhuQZGkcRQPa0CQ_X6cQ?authuser=0&hl=pl&rclk=1
Pretty Woman by Wiola Wolicka,792539053,Bełchatów,,https://www.facebook.com/pages/category/Skin-Care-Service/Pretty-Woman-by-Wiola-Wolicka-2182620058731535/,,,30,4.9,4,nowy,"brak www, aktywny FB, 30 opinii 4.9 - dobry lead",https://www.google.com/maps/place/Pretty+Woman+by+Wiola+Wolicka/data=!4m7!3m6!1s0x471a17a6f7bbfa67:0x4f9733977aff457!8m2!3d51.3653673!4d19.3607459!16s%2Fg%2F11hds4h_6c!19sChIJZ_q796YXGkcRV_Svdzlz-QQ?authuser=0&hl=pl&rclk=1
Eve Nails Gabinet Kosmetyczny Ewelina Gwozdzik,605299983,Bełchatów,,https://www.facebook.com/evenailsbelchatow/,,,17,5.0,4,nowy,"brak www, aktywny FB, 17 opinii 5.0",https://www.google.com/maps/place/Eve+Nails+Gabinet+Kosmetyczny+Ewelina+Gwozdzik/data=!4m7!3m6!1s0x471a19942e32bc6d:0x163caf240e8c4a7b!8m2!3d51.36246!4d19.377177!16s%2Fg%2F11vczldxw8!19sChIJbbwyLpQZGkcRe0qMDiSvPBY?authuser=0&hl=pl&rclk=1
ELIXIR KLINIKA KOSMETOLOGII,693427962,Bełchatów,,https://m.facebook.com/Elixir-klinika-kosmetologii-559081727583389/?__tn__=C-R,,,13,4.8,3,nowy,"brak www, ma FB, umiarkowana aktywnosc (13 opinii 4.8)",https://www.google.com/maps/place/ELIXIR+KLINIKA+KOSMETOLOGII/data=!4m7!3m6!1s0x471a1919f0d75d01:0xd82ae5dd3bf1442!8m2!3d51.3671767!4d19.3774526!16s%2Fg%2F11j48480wt!19sChIJAV3X8BkZGkcRQhS_012ugg0?authuser=0&hl=pl&rclk=1
Justyna Pawlak Kosmetolog,516751624,Bełchatów,,https://www.facebook.com/JustynaPawlakKosmetolog,,,14,5.0,3,nowy,"brak www, ma FB, umiarkowana aktywnosc (14 opinii 5.0)",https://www.google.com/maps/place/Justyna+Pawlak+Kosmetolog/data=!4m7!3m6!1s0x471a17fa9cb77053:0xd0e97c0e4c721196!8m2!3d51.3692542!4d19.3686959!16s%2Fg%2F11wv4y86mt!19sChIJU3C3nPoXGkcRlhFyTA586dA?authuser=0&hl=pl&rclk=1
