nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Salon kosmetyczny Kącik Urody,794995941,Opoczno,https://www.kacik-urody.com/,https://www.facebook.com/kacikurodyopoczno/,https://www.instagram.com/kacik_urody/,,93,4.8,5,nowy,"ma własną stronę www + bardzo aktywny FB (4,3 tys polubień) i IG (1,7 tys obserwujących), 93 opinie 4.8 — najmocniejsza obecność online w grupie",https://www.google.com/maps/place/Salon+kosmetyczny+K%C4%85cik+Urody/data=!4m7!3m6!1s0x4719bc1365aa48f9:0xff2b82a7f86bcc29!8m2!3d51.3767692!4d20.2827834!16s%2Fg%2F11b6gjs3dc!19sChIJ-UiqZRO8GUcRKcxr-KeCK_8?authuser=0&hl=pl&rclk=1
Salon Urody Bellis & SPA Opoczno,609290956,Opoczno,http://www.salonurodybellis.pl/,https://www.facebook.com/SalonUrodyBellis/,https://www.instagram.com/salonurodybellis/,,54,4.7,5,nowy,"ma własną stronę www + FB/IG, 54 opinie 4.7",https://www.google.com/maps/place/Salon+Urody+Bellis+%26+SPA+Opoczno/data=!4m7!3m6!1s0x4719bc3900000001:0xa7aeaf1b730c55dd!8m2!3d51.3788013!4d20.2861725!16s%2Fg%2F11c0phc14x!19sChIJAQAAADm8GUcR3VUMcxuvrqc?authuser=0&hl=pl&rclk=1
Madame,667013011,Opoczno,,,,http://madameopoczno.booksy.com/,38,4.8,3,nowy,"brak www, nie potwierdzono dedykowanego FB/IG, ale bardzo aktywny Booksy (244 opinie 4.9) i uzupełniony profil Google, 38 opinii 4.8",https://www.google.com/maps/place/Madame/data=!4m7!3m6!1s0x4719bc3f6388702f:0x73f9c021a52aa8cd!8m2!3d51.3797804!4d20.2749742!16s%2Fg%2F11hhtw90ym!19sChIJL3CIYz-8GUcRzagqpSHA-XM?authuser=0&hl=pl&rclk=1
"Studio ""Strefa Piękna""",663558482,Opoczno,,https://www.facebook.com/studiostrefapiekna/,https://www.instagram.com/strefa_piekna1/,,34,4.9,4,nowy,"brak www, aktywny FB + IG (681 obserwujących), 34 opinie 4.9",https://www.google.com/maps/place/Studio+%22Strefa+Pi%C4%99kna%22/data=!4m7!3m6!1s0x4719bc39a71b039b:0x89e01b63d97c7b04!8m2!3d51.3767566!4d20.2658444!16s%2Fg%2F11h6g13vqd!19sChIJmwMbpzm8GUcRBHt82WMb4Ik?authuser=0&hl=pl&rclk=1
Salon Kosmetyczny GLOW Opoczno,733595175,Opoczno,,https://www.facebook.com/msu.paulaa/,https://www.instagram.com/glow_opoczno/,,26,5.0,4,nowy,"brak www, aktywny FB (2,5 tys polubień, prowadzony pod nazwiskiem Pauliny Chmielewskiej) + IG (1,5 tys obserwujących), 26 opinii 5.0",https://www.google.com/maps/place/Salon+Kosmetyczny+GLOW+Opoczno/data=!4m7!3m6!1s0x4719bd0891611f9f:0x785b141a1bb65bfd!8m2!3d51.3781683!4d20.2806818!16s%2Fg%2F11jv4p80j6!19sChIJnx9hkQi9GUcR_Vu2GxoUW3g?authuser=0&hl=pl&rclk=1
ISABELLA Beauty Studio,726863470,Opoczno,https://isabelabs.my.canva.site/,https://www.facebook.com/przedluzanierzesIzabelaSecretLashes/,https://www.instagram.com/isabella_beauty_studio/,https://booksy.com/pl-pl/233733_isabella-beauty-studio_salon-kosmetyczny_8522_opoczno#ba_s=seo,43,5.0,5,nowy,"ma własną (prostą, zrobioną na Canva) stronę www + FB/IG/Booksy, 43 opinie 5.0",https://www.google.com/maps/place/ISABELLA+Beauty+Studio/data=!4m7!3m6!1s0x4719bdd78c754f41:0x54003d549d54d44a!8m2!3d51.376258!4d20.282884!16s%2Fg%2F11fn1zw25x!19sChIJQU91jNe9GUcRStRUnVQ9AFQ?authuser=0&hl=pl&rclk=1
Metamorfoza Studio Urody Wiktoria Angelika Zdybał,666502520,Opoczno,,https://www.facebook.com/profile.php?id=100090726132716,,,18,4.8,3,nowy,"brak www, potwierdzony FB, nie udało się jednoznacznie potwierdzić dedykowanego IG, 18 opinii 4.8",https://www.google.com/maps/place/Metamorfoza+Studio+Urody+Wiktoria+Angelika+Zdyba%C5%82/data=!4m7!3m6!1s0xecdfd08adff2b89:0x68ae9d4781ab67d0!8m2!3d51.3770029!4d20.2780924!16s%2Fg%2F11tt1jqgw1!19sChIJiSv_rQj9zQ4R0GergUedrmg?authuser=0&hl=pl&rclk=1
Gabinet Kosmetyczny ODNOWA,531631494,Opoczno,,https://www.facebook.com/GabinetKosmetycznyOdnowa/,https://www.instagram.com/gabinetodnowa/,,10,4.6,4,nowy,"brak www, bardzo aktywny FB (2,3 tys polubień) + IG, 10 opinii 4.6",https://www.google.com/maps/place/Gabinet+Kosmetyczny+ODNOWA/data=!4m7!3m6!1s0x4719bdc75ddf34f9:0x4cb308d1b0f7a088!8m2!3d51.3881639!4d20.2753848!16s%2Fg%2F11h_b0pmcr!19sChIJ-TTfXce9GUcRiKD3sNEIs0w?authuser=0&hl=pl&rclk=1
Proxima Dominika Lenart-Śmigiel,531383119,Opoczno,,https://www.facebook.com/p/Atelier-Dominika-Lenart-%C5%9Amigiel-100094298523778/,,,22,5.0,3,nowy,"brak www, prawdopodobny FB pod nazwą Atelier (ta sama właścicielka), IG nie potwierdzony jednoznacznie, 22 opinie 5.0",https://www.google.com/maps/place/Proxima+Dominika+Lenart-%C5%9Amigiel/data=!4m7!3m6!1s0x4719bd4325d2ccc5:0xef27ed85f4af9b3c!8m2!3d51.3777787!4d20.2750552!16s%2Fg%2F11ms5nm0gl!19sChIJxczSJUO9GUcRPJuv9IXtJ-8?authuser=0&hl=pl&rclk=1
Si Kosmetologia Joanna Poddębniak,574521198,Opoczno,,https://www.facebook.com/p/Si-Kosmetologia-Joanna-Podd%C4%99bniak-100089629461375/,https://www.instagram.com/si_kosmetologia/,,21,5.0,4,nowy,"brak www, aktywny FB (1,2 tys polubień) + IG (685 obserwujących), 21 opinii 5.0",https://www.google.com/maps/place/Si+Kosmetologia+Joanna+Podd%C4%99bniak/data=!4m7!3m6!1s0x4719bdac6306aed1:0x632354b1c19774be!8m2!3d51.3768282!4d20.2726221!16s%2Fg%2F11ld5z34fq!19sChIJ0a4GY6y9GUcRvnSXwbFUI2M?authuser=0&hl=pl&rclk=1
STUDIO IMPRESJA,502946786,Opoczno,,https://www.facebook.com/studio.impresja.opoczno/,https://www.instagram.com/studio_impresja_opoczno/,,11,4.6,4,nowy,"brak www, aktywny FB + IG (1,1 tys obserwujących), 11 opinii 4.6",https://www.google.com/maps/place/STUDIO+IMPRESJA/data=!4m7!3m6!1s0x4719bc3f672dad1f:0xb3e1704f5238f95c!8m2!3d51.3801221!4d20.2698271!16s%2Fg%2F11cnc6n3js!19sChIJH60tZz-8GUcRXPk4Uk9w4bM?authuser=0&hl=pl&rclk=1
"Studio Urody ""Cleo""",795791230,Opoczno,,https://www.facebook.com/p/Studio-Urody-CLEO-100057232070195/,,,13,5.0,3,nowy,"brak www, aktywny FB (588 polubień), dedykowany IG dla oddziału w Opocznie nie potwierdzony (istnieje inny oddział Cleo w Krakowie), 13 opinii 5.0",https://www.google.com/maps/place/Studio+Urody+%22Cleo%22/data=!4m7!3m6!1s0x4719bc3faf050159:0x3094bd5b54af4f83!8m2!3d51.377811!4d20.2750581!16s%2Fg%2F11b73_bqv0!19sChIJWQEFrz-8GUcRg0-vVFu9lDA?authuser=0&hl=pl&rclk=1
Studio Venus,661706212,Opoczno,,https://www.facebook.com/StudioVenusOpoczno/,https://www.instagram.com/studio_venus_opoczno/,,54,3.9,4,nowy,"brak potwierdzonej własnej www (domena studiovenus.pl znaleziona w wyszukiwaniu nie potwierdza adresu w Opocznie), aktywny FB (2,8 tys polubień) + IG, 54 opinie 3.9 — najniższa ocena w grupie",https://www.google.com/maps/place/Studio+Venus/data=!4m7!3m6!1s0x4719bc3e7db3fb85:0x1fb4619c82727458!8m2!3d51.375974!4d20.2734675!16s%2Fg%2F1tdx7g6b!19sChIJhfuzfT68GUcRWHRygpxhtB8?authuser=0&hl=pl&rclk=1
Angel Studio Urody,695309348,Opoczno,,https://www.facebook.com/angelstudiourody/,https://www.instagram.com/studio_urody_angel_opoczno/,,75,4.8,4,nowy,"brak www, aktywny FB + IG (1,8 tys obserwujących), 75 opinii 4.8 — mocny lead; Google Maps błędnie podaje miasto Honoratów, potwierdzony adres to ul. Piotrkowska 49, Opoczno",https://www.google.com/maps/place/Angel+Studio+Urody/data=!4m7!3m6!1s0x4719bdc4a22d4227:0x35363559e81d0e30!8m2!3d51.3403928!4d20.0093055!16s%2Fg%2F11r3zb89s4!19sChIJJ0ItosS9GUcRMA4d6Fk1NjU?authuser=0&hl=pl&rclk=1
Opocznianka Salon Urody Amanda Sowińska,512042055,Opoczno,,,,,2,5.0,2,nowy,"uzupełniony profil Google, ale tylko 2 opinie, nie udało się jednoznacznie potwierdzić dedykowanego FB/IG",https://www.google.com/maps/place/Opocznianka+Salon+Urody+Amanda+Sowi%C5%84ska/data=!4m7!3m6!1s0x4719bd5f782dff1b:0x66e74e918a0ae52a!8m2!3d51.3782584!4d20.2874779!16s%2Fg%2F11zcmlvyfp!19sChIJG_8teF-9GUcRKuUKipFO52Y?authuser=0&hl=pl&rclk=1
Salon kosmetyczny Naomi Makijaż permanentny,512457225,Opoczno,,https://m.facebook.com/permanentnynaomi/?locale2=pl_PL,,,5,4.2,3,nowy,"brak www, potwierdzony FB, IG nie potwierdzony, tylko 5 opinii 4.2",https://www.google.com/maps/place/Salon+kosmetyczny+Naomi+Makija%C5%BC+permanentny/data=!4m7!3m6!1s0x4719bdef26971b63:0x4a3e1fb4b940d407!8m2!3d51.3767727!4d20.2777021!16s%2Fg%2F11hxr0dv67!19sChIJYxuXJu-9GUcRB9RAubQfPko?authuser=0&hl=pl&rclk=1
"Salon Kosmetyczny ""Heaven""",785326897,Opoczno,,https://www.facebook.com/p/Salon-Kosmetyczny-Heaven-Kinga-Pawlik-100038994230881/,,,6,3.5,4,nowy,"brak własnej www (link z Google Maps to wpis w katalogu beautynailhairsalons.com, nie własna strona), bardzo aktywny FB (1,3 tys polubień), tylko 6 opinii w Google 3.5; telefon uzupełniony ręcznie z wyszukiwania (Maps nie podał numeru)",https://www.google.com/maps/place/Salon+Kosmetyczny+%22Heaven%22/data=!4m7!3m6!1s0x4719bc158b02bc79:0x86208f4c54057cc8!8m2!3d51.3756514!4d20.2771614!16s%2Fg%2F11fqpbzj7n!19sChIJebwCixW8GUcRyHwFVEyPIIY?authuser=0&hl=pl&rclk=1
Salon kosmetyczny Beauty Woman. Agnieszka Rogulska,605423063,Opoczno,,https://www.facebook.com/agusiar4/,,,7,4.4,3,nowy,"brak www, prawdopodobny FB (stylistka paznokci od 2016, ta sama okolica), dopasowanie niepewne, 7 opinii 4.4",https://www.google.com/maps/place/Salon+kosmetyczny+Beauty+Woman.+Agnieszka+Rogulska/data=!4m7!3m6!1s0x4719bd97e719d7c1:0x49cc1610ba6992e1!8m2!3d51.3794798!4d20.2766362!16s%2Fg%2F11kmd53mz7!19sChIJwdcZ55e9GUcR4ZJpuhAWzEk?authuser=0&hl=pl&rclk=1
