nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Salon Kosmetyczny Madam Monika Barańska Masaże & Spa,513804886,Piotrków Trybunalski,http://saloner.pl/salon/salon-madam,https://www.facebook.com/p/Madam-Kosmetologia-Estetyczna-Monika-Bara%C5%84ska-100063888270183/,https://www.instagram.com/salon_madam/,,880,5.0,5,nowy,"Ma własną stronę (saloner.pl), aktywny FB/IG, 880 opinii 5.0 – bardzo mocny profil.",https://www.google.com/maps/place/Salon+Kosmetyczny+Madam+Monika+Bara%C5%84ska+Masa%C5%BCe+%26+Spa/data=!4m7!3m6!1s0x47198a939e171029:0xd68422adcabad5d7!8m2!3d51.4230395!4d19.6879166!16s%2Fg%2F11hyn8k91l!19sChIJKRAXnpOKGUcR19W6yq0ihNY?authuser=0&hl=pl&rclk=1
Kosmetyka & Podologia Madeline,606406027,Piotrków Trybunalski,https://madelinestudiourody.pl/,https://www.facebook.com/MadelineStudioUrody/,https://www.instagram.com/madeline_kosmetyka_podologia/,https://681a41d5.booksy.com,475,5.0,5,nowy,"Własna strona, aktywne FB/IG/Booksy, 475 opinii 5.0.",https://www.google.com/maps/place/Kosmetyka+%26+Podologia+Madeline/data=!4m7!3m6!1s0x471a2076793dccf9:0x65aee02a5bd6d4b8!8m2!3d51.406259!4d19.687573!16s%2Fg%2F11cjj9vg7h!19sChIJ-cw9eXYgGkcRuNTWWyrgrmU?authuser=0&hl=pl&rclk=1
Opalanie Natryskowe by Daga Piotrków Tryb,790740375,Piotrków Trybunalski,https://kursyopalanienatryskowe.pl/,https://www.facebook.com/opalanienatryskowepiotrkowtryb,https://www.instagram.com/opalanie_szkolenia_by_daga/,,249,5.0,5,nowy,"Własna strona (też szkolenia), aktywne FB+IG, 249 opinii 5.0.",https://www.google.com/maps/place/Opalanie+Natryskowe+by+Daga+Piotrk%C3%B3w+Tryb/data=!4m7!3m6!1s0x47198b3d953745a9:0x9ed8ffb20674705!8m2!3d51.4071369!4d19.6855164!16s%2Fg%2F11k5fcsqsd!19sChIJqUU3lT2LGUcRBUdnIPuP7Qk?authuser=0&hl=pl&rclk=1
Ateba. Centrum odnowy biologicznej,446496610,Piotrków Trybunalski,https://www.ateba.pl/,https://www.facebook.com/CentrumAteba/,,,160,4.5,5,nowy,"Ma własną stronę ateba.pl (nie było w Google Maps), aktywny FB, 160 opinii 4.5.",https://www.google.com/maps/place/Ateba.+Centrum+odnowy+biologicznej/data=!4m7!3m6!1s0x47198a8e3fc4ccff:0x990f28ecacd6357f!8m2!3d51.4081024!4d19.6825814!16s%2Fg%2F1v75qn7m!19sChIJ_8zEP46KGUcRfzXWrOwoD5k?authuser=0&hl=pl&rclk=1
Lady Nova,516408100,Piotrków Trybunalski,http://www.ladynova.pl/,https://www.facebook.com/ladynovapiotrkow/,https://www.instagram.com/ladynovapiotrkow/,,118,5.0,5,nowy,"Własna strona, aktywne FB+IG (664 obserwujących), 118 opinii 5.0.",https://www.google.com/maps/place/Lady+Nova/data=!4m7!3m6!1s0x47198b3443e631fb:0xd0e479acbed9a988!8m2!3d51.407156!4d19.682876!16s%2Fg%2F11fpddzvgl!19sChIJ-zHmQzSLGUcRiKnZvqx55NA?authuser=0&hl=pl&rclk=1
Gabinet kosmetyczny YASUMI masaże i SPA Piotrków Trybunalski,609121199,Piotrków Trybunalski,https://piotrkow.yasumi.pl/,https://www.facebook.com/piotrkow.trybunalski.yasumi,https://www.instagram.com/yasumi_piotrkow_trybunalski,https://booksy.com/pl-pl/105068_yasumi-piotrkow-trybunalski_salon-kosmetyczny_25202_piotrkow-trybunalski,107,4.5,5,nowy,"Sieciowy salon z własną stroną, pełne social+Booksy, 107 opinii 4.5.",https://www.google.com/maps/place/Gabinet+kosmetyczny+YASUMI+masa%C5%BCe+i+SPA+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198a8ce23078d1:0x840b27f362c7a874!8m2!3d51.4089019!4d19.695795!16s%2Fg%2F11g9gzwlph!19sChIJ0Xgw4oyKGUcRdKjHYvMnC4Q?authuser=0&hl=pl&rclk=1
Projekt WO!man Kosmetologia Estetyczna,663555021,Piotrków Trybunalski,https://projektwoman.pl/,https://www.facebook.com/projekt.woman.piotrkow,https://www.instagram.com/projektwoman_kosmetologia/,https://projektwoman.booksy.com,83,4.9,5,nowy,"Własna strona + aktywne FB/IG/Booksy, 83 opinie 4.9.",https://www.google.com/maps/place/Projekt+WO!man+Kosmetologia+Estetyczna/data=!4m7!3m6!1s0x47198bcd117a8137:0x2b46438513fe29d9!8m2!3d51.4104349!4d19.6856715!16s%2Fg%2F11kb_jy4r6!19sChIJN4F6Ec2LGUcR2Sn-E4VDRis?authuser=0&hl=pl&rclk=1
BVITAL | Medycyna estetyczna i kosmetologia,696721214,Piotrków Trybunalski,https://bvital.pl/,https://www.facebook.com/bvital.official/,,https://bvital.booksy.com,51,4.7,5,nowy,"Własna strona, obecna na Booksy, prawdopodobnie aktywny Instagram (zdjęcia embedowane), 51 opinii 4.7.",https://www.google.com/maps/place/BVITAL+%7C+Medycyna+estetyczna+i+kosmetologia/data=!4m7!3m6!1s0x47198b8f86bc137f:0x6aa4b9083f2e0dc3!8m2!3d51.4126059!4d19.6867095!16s%2Fg%2F11fd6d40y6!19sChIJfxO8ho-LGUcRww0uPwi5pGo?authuser=0&hl=pl&rclk=1
Perfect Look Clinic Piotrków Trybunalski,518552319,Piotrków Trybunalski,https://perfectlook.clinic/gabinety/perfect-look-clinic-piotrkow-trybunalski/,https://www.facebook.com/plcpiotrkowtrybunalski/,https://www.instagram.com/perfectlookclinic.piotrkowtryb/,,38,4.8,5,nowy,"Sieciowa klinika z własną stroną, aktywne FB/IG, 38 opinii 4.8.",https://www.google.com/maps/place/Perfect+Look+Clinic+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198b5003640f07:0x8a118ff6181e5c8d!8m2!3d51.4040076!4d19.6922114!16s%2Fg%2F11t255y501!19sChIJBw9kA1CLGUcRjVweGPaPEYo?authuser=0&hl=pl&rclk=1
Anaïs Spa,607713601,Piotrków Trybunalski,http://anais.net.pl/kontakt/,https://www.facebook.com/AnaisSpaJoannaKieras,,,31,4.8,5,nowy,"Własna strona, aktywny FB, 31 opinii 4.8.",https://www.google.com/maps/place/Ana%C3%AFs+Spa/data=!4m7!3m6!1s0x47198ae7f136f70f:0xfa0e85757ff92bd0!8m2!3d51.393982!4d19.7054831!16s%2Fg%2F11fmmdzghw!19sChIJD_c28eeKGUcR0Cv5f3WFDvo?authuser=0&hl=pl&rclk=1
Odnowa - klinika lekarzy medycyny estetycznej Piotrków Trybunalski,603041919,Piotrków Trybunalski,https://www.odnowaklinika.pl/,https://www.facebook.com/OdnowaKlinika,https://www.instagram.com/odnowamedycynaestetyczna,https://booksy.com/pl-pl/246162_odnowa-klinika-medycyny-estetycznej_medycyna-estetyczna_25202_piotrkow-trybunalski,31,5.0,5,nowy,"Własna strona, aktywne FB+IG+Booksy, 31 opinii 5.0.",https://www.google.com/maps/place/Odnowa+-+klinika+lekarzy+medycyny+estetycznej+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x471a21380be57299:0x6e9101685cab4c13!8m2!3d51.4072636!4d19.6820304!16s%2Fg%2F11sv_7vzwg!19sChIJmXLlCzghGkcRE0yrXGgBkW4?authuser=0&hl=pl&rclk=1
TETIANA LEVINA — kosmetologia & estetyka,731673496,Piotrków Trybunalski,https://levina-cosmetology.pl/,https://www.facebook.com/levina.cosmetology/,https://www.instagram.com/levina_cosmetology/,,15,5.0,5,nowy,"Własna strona, aktywne FB+IG, 15 opinii 5.0.",https://www.google.com/maps/place/TETIANA+LEVINA+%E2%80%94+kosmetologia+%26+estetyka/data=!4m7!3m6!1s0x47198bf66920cf23:0x9480ffb62e45acc7!8m2!3d51.4092919!4d19.678531!16s%2Fg%2F11ydzp8x2_!19sChIJI88gafaLGUcRx6xFLrb_gJQ?authuser=0&hl=pl&rclk=1
