nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
YASUMI,517292390,Radomsko,https://radomsko.yasumi.pl/,https://www.facebook.com/yasumiradomsko/,https://www.instagram.com/yasumiradomsko/,https://yasumiradomsko.booksy.com,94,4.9,5,nowy,"ma własną stronę www + aktywny FB/IG/Booksy, 94 opinie 4.9 — bardzo mocna obecność online",https://www.google.com/maps/place/YASUMI/data=!4m7!3m6!1s0x4719ff07f160d3e5:0x8d7c4d8ae3c606d8!8m2!3d51.0737954!4d19.4356961!16s%2Fg%2F11fnymgymp!19sChIJ5dNg8Qf_GUcR2AbG44pNfI0?authuser=0&hl=pl&rclk=1
LAUREN Beauty Salon,503600760,Radomsko,http://www.laurenradomsko.pl/,https://www.facebook.com/profile.php?id=61582697998451,https://www.instagram.com/laurenbeauty.salon/,https://laurenbeautysalon85.booksy.com,13,5.0,5,nowy,"ma własną stronę www + FB/IG/Booksy, 13 opinii 5.0",https://www.google.com/maps/place/LAUREN+Beauty+Salon/data=!4m7!3m6!1s0x4719ff6904875a1b:0xda2ef8585aa09ed4!8m2!3d51.0729229!4d19.4367977!16s%2Fg%2F11zkd1196h!19sChIJG1qHBGn_GUcR1J6gWlj4Lto?authuser=0&hl=pl&rclk=1
ILARTO salon kosmetyczny,664949082,Radomsko,http://www.ilarto.pl/,,,https://booksy.com/pl-pl/101511_ilarto-salon-kosmetyczny_paznokcie_25252_radomsko,25,4.7,5,nowy,"ma własną stronę www + Booksy, 25 opinii 4.7; FB/IG nie znalezione",https://www.google.com/maps/place/ILARTO+salon+kosmetyczny/data=!4m7!3m6!1s0x471a00029f7bb67d:0x89e33afbfc3608b4!8m2!3d51.0580139!4d19.4480447!16s%2Fg%2F11hcdm6hb0!19sChIJfbZ7nwIAGkcRtAg2_Ps644k?authuser=0&hl=pl&rclk=1
Julia Bednarska Make-up,739090942,Radomsko,,,,,10,5.0,2,nowy,"uzupełniony profil Google (10 opinii, 5.0), brak www; wyszukiwanie nie potwierdziło jednoznacznie profilu FB/IG (popularne imię i nazwisko)",https://www.google.com/maps/place/Julia+Bednarska+Make-up/data=!4m7!3m6!1s0x471a0108443a8b0b:0x8e5225ca85f4f913!8m2!3d51.0748024!4d19.4481199!16s%2Fg%2F11zcg5_tdc!19sChIJC4s6RAgBGkcRE_n0hcolUo4?authuser=0&hl=pl&rclk=1
Aleksandra Gomola Beauty • Radomsko • Makijaż permanentny brwi • Stylizacja brwi • Makijaż okolicznościowy,733520647,Radomsko,,https://www.facebook.com/RadomskoMakijazBrwiSzkolenia/,https://www.instagram.com/aleksandragomola.beauty/,https://booksy.com/pl-pl/160217_aleksandra-gomola-beauty_makijaz_25252_radomsko,29,4.9,4,nowy,"brak www, ale bardzo aktywny Instagram (5,1 tys. obserwujących), FB i Booksy, 29 opinii 4.9 — mocny lead",https://www.google.com/maps/place/Aleksandra+Gomola+Beauty+%E2%80%A2+Radomsko+%E2%80%A2+Makija%C5%BC+permanentny+brwi+%E2%80%A2+Stylizacja+brwi+%E2%80%A2+Makija%C5%BC+okoliczno%C5%9Bciowy/data=!4m7!3m6!1s0x47175580655d7f29:0x2c489004c5d4da86!8m2!3d51.067284!4d19.447479!16s%2Fg%2F11sqtgrdkv!19sChIJKX9dZYBVF0cRhtrUxQSQSCw?authuser=0&hl=pl&rclk=1
Gabinet Kosmetologii MN Magdalena Nowicka,725111236,Radomsko,,https://www.facebook.com/p/Gabinet-Kosmetologii-MN-Magdalena-Nowicka-100057415450895/,,,60,4.9,4,nowy,"brak www, aktywny FB, 60 opinii 4.9 — dużo opinii, dobry lead",https://www.google.com/maps/place/Gabinet+Kosmetologii+MN+Magdalena+Nowicka/data=!4m7!3m6!1s0x4717554610a34d7f:0xc8e3833e513beed7!8m2!3d51.0691063!4d19.4310675!16s%2Fg%2F11mvf_j9w5!19sChIJf02jEEZVF0cR1-47UT6D48g?authuser=0&hl=pl&rclk=1
Studio Urody Radomsko,506016750,Radomsko,https://studiourodyradomsko.pl/,https://www.facebook.com/profile.php?id=100083157108999,https://www.instagram.com/studio_urody_radomsko/,,10,5.0,5,nowy,"ma własną stronę www + FB/IG, 10 opinii 5.0",https://www.google.com/maps/place/Studio+Urody+Radomsko/data=!4m7!3m6!1s0x47175524c5cb9fa9:0x452d7899591903b9!8m2!3d51.0547342!4d19.4524842!16s%2Fg%2F11k9ldp095!19sChIJqZ_LxSRVF0cRuQMZWZl4LUU?authuser=0&hl=pl&rclk=1
Milady Salon,511245015,Radomsko,,https://www.facebook.com/miladysalon/,,https://miladysalonestetycznie.booksy.com,14,5.0,4,nowy,"brak www, aktywny FB + Booksy, 14 opinii 5.0",https://www.google.com/maps/place/Milady+Salon/data=!4m7!3m6!1s0x4719ffe2b6c0cf95:0xb430c8b86cd76f9f!8m2!3d51.0713834!4d19.4367888!16s%2Fg%2F11h0vq6nsc!19sChIJlc_AtuL_GUcRn2_XbLjIMLQ?authuser=0&hl=pl&rclk=1
ES Beauty,797165228,Radomsko,,https://www.facebook.com/p/Es-Beauty-100063678390597/,,,29,5.0,4,nowy,"brak www, aktywny FB (1042 polubienia), 29 opinii 5.0",https://www.google.com/maps/place/ES+Beauty/data=!4m7!3m6!1s0x471755a9fe2f211d:0xe5173b98679c63a8!8m2!3d51.0516419!4d19.4475608!16s%2Fg%2F11k6vryrwm!19sChIJHSEv_qlVF0cRqGOcZ5g7F-U?authuser=0&hl=pl&rclk=1
Zakątek Zdrowia i Urody,571091222,Radomsko,,,,,2,5.0,1,nowy,"tylko 2 opinie w Google, brak potwierdzonych social media — słaba, niedokończona obecność online",https://www.google.com/maps/place/Zak%C4%85tek+Zdrowia+i+Urody/data=!4m7!3m6!1s0x471755aacaa3f941:0x82e6e72c78e3348d!8m2!3d51.066644!4d19.442081!16s%2Fg%2F11z0ghyx43!19sChIJQfmjyqpVF0cRjTTjeCzn5oI?authuser=0&hl=pl&rclk=1
