nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
JustSkin Klinika Medycyny Estetycznej i Kosmetologii,514035265,Tomaszów Mazowiecki,http://www.justskin.com.pl/,https://www.facebook.com/JustSkinKlinika/,,,146,4.9,5,nowy,Ma własną stronę (http://www.justskin.com.pl/). Aktywna: FB. 146 opinii 4.9.,https://www.google.com/maps/place/JustSkin+Klinika+Medycyny+Estetycznej+i+Kosmetologii/data=!4m7!3m6!1s0x47199ba3cdbcbd43:0xa5c0027ad4d837b5!8m2!3d51.5294812!4d20.0327318!16s%2Fg%2F11fvlfgxmg!19sChIJQ728zaObGUcRtTfY1HoCwKU?authuser=0&hl=pl&rclk=1
Day SPA Metamorfoza,790820154,Tomaszów Mazowiecki,https://metamorfozatomaszow.pl/,,,,81,5.0,5,nowy,Ma własną stronę (https://metamorfozatomaszow.pl/). Brak potwierdzonych social media. 81 opinii 5.0.,https://www.google.com/maps/place/Day+SPA+Metamorfoza/data=!4m7!3m6!1s0x4719852f34e734e5:0xdcc62890dbb20215!8m2!3d51.527089!4d19.997489!16s%2Fg%2F11b6tgf2wy!19sChIJ5TTnNC-FGUcRFQKy25Aoxtw?authuser=0&hl=pl&rclk=1
Mon4You Salon Kosmetyczny Monika Pietrzyk Tomaszów Mazowiecki ul. Św. Antoniego 18,667142201,Tomaszów Mazowiecki,http://mon4you.pl/,https://www.facebook.com/profile.php?id=100088533920362,,,47,5.0,5,nowy,Ma własną stronę (http://mon4you.pl/). Aktywna: FB. 47 opinii 5.0.,https://www.google.com/maps/place/Mon4You+Salon+Kosmetyczny+Monika+Pietrzyk+Tomasz%C3%B3w+Mazowiecki+ul.+%C5%9Aw.+Antoniego+18/data=!4m7!3m6!1s0x4719850455338793:0xeee58fcaf8d602ff!8m2!3d51.5300368!4d20.0091951!16s%2Fg%2F11txld_jlz!19sChIJk4czVQSFGUcR_wLW-MqP5e4?authuser=0&hl=pl&rclk=1
BLINK Beauty Studio Magdalena Grałek,502893860,Tomaszów Mazowiecki,http://blinkbeauty.pl/,,https://www.instagram.com/blink_studiourody/,https://booksy.com/pl-pl/12192_studio-urody-blink-magdalena-gralek_salon-kosmetyczny_25178_tomaszow-mazowiecki,31,4.8,5,nowy,Ma własną stronę (http://blinkbeauty.pl/). Aktywna: IG+Booksy. 31 opinii 4.8.,https://www.google.com/maps/place/BLINK+Beauty+Studio+Magdalena+Gra%C5%82ek/data=!4m7!3m6!1s0x47199b8a97cd4cb5:0x23cd32053ad687c5!8m2!3d51.5294581!4d20.0191174!16s%2Fg%2F11gyb09196!19sChIJtUzNl4qbGUcRxYfWOgUyzSM?authuser=0&hl=pl&rclk=1
Salon Pazurek - Beauty Academy,791170171,Tomaszów Mazowiecki,http://www.garczynskabeauty.pl/,https://www.facebook.com/salonpazurek/,https://www.instagram.com/pazurekbeauty/,https://booksy.com/pl-pl/6163_pazurek-beauty-academy_salon-kosmetyczny_25178_tomaszow-mazowiecki,22,4.8,5,nowy,Ma własną stronę (http://www.garczynskabeauty.pl/). Aktywna: FB+IG+Booksy. 22 opinii 4.8.,https://www.google.com/maps/place/Salon+Pazurek+-+Beauty+Academy/data=!4m7!3m6!1s0x4719854caeda8abf:0x4332f5bea718ba8f!8m2!3d51.5304691!4d20.0073382!16s%2Fg%2F11xycxl9mm!19sChIJv4rarkyFGUcRj7oYp771MkM?authuser=0&hl=pl&rclk=1
Salon Kosmetyczny Glamour Studio Odchudzania I Kształtowania Sylwetki,601807247,Tomaszów Mazowiecki,http://www.gabinetglamour.com/,https://www.facebook.com/gabinetglamourtomaszow,https://www.instagram.com/gabinet.glamour.tomaszow/,,9,5.0,5,nowy,Ma własną stronę (http://www.gabinetglamour.com/). Aktywna: FB+IG. 9 opinii 5.0.,https://www.google.com/maps/place/Salon+Kosmetyczny+Glamour+Studio+Odchudzania+I+Kszta%C5%82towania+Sylwetki/data=!4m7!3m6!1s0x4719853a45922409:0x55eb49379da9b580!8m2!3d51.5245321!4d19.9985905!16s%2Fg%2F11hhtvpb32!19sChIJCSSSRTqFGUcRgLWpnTdJ61U?authuser=0&hl=pl&rclk=1
Studio Butterfly Kosmetologia estetyczna,663797737,Tomaszów Mazowiecki,https://saloner.pl/salon/studio-butterfly,,,,8,5.0,5,nowy,"Ma własną stronę (https://saloner.pl/salon/studio-butterfly). Brak potwierdzonych social media. 8 opinii 5.0. Profil na platformie saloner.pl (agregator/rezerwacje), nie potwierdzono dedykowanych social mediów salonu.",https://www.google.com/maps/place/Studio+Butterfly+Kosmetologia+estetyczna/data=!4m7!3m6!1s0x47198527cf65505d:0x7f66623259fb74dd!8m2!3d51.5313214!4d19.9988075!16s%2Fg%2F11c1tz543d!19sChIJXVBlzyeFGUcR3XT7WTJiZn8?authuser=0&hl=pl&rclk=1
Atelier Piękna Izabela Iskierka,512013405,Tomaszów Mazowiecki,,,,http://atelierpieknaizabelagozdzik.booksy.com/,105,5.0,4,nowy,"Brak własnej strony, aktywna: Booksy, 105 opinii Google 5.0 - dobry lead.",https://www.google.com/maps/place/Atelier+Pi%C4%99kna+Izabela+Iskierka/data=!4m7!3m6!1s0x471991cd738adc63:0x14c4cb320b472c90!8m2!3d51.5248385!4d20.0078223!16s%2Fg%2F11s0vfgw31!19sChIJY9yKc82RGUcRkCxHCzLLxBQ?authuser=0&hl=pl&rclk=1
Zafixowana Pracownia Mejkapu,604504293,Tomaszów Mazowiecki,,https://www.facebook.com/zafixowana,,,88,5.0,4,nowy,"Brak własnej strony, aktywna: FB, 88 opinii Google 5.0 - dobry lead.",https://www.google.com/maps/place/Zafixowana+Pracownia+Mejkapu/data=!4m7!3m6!1s0x471985d10ba4ecc7:0x6f2cc43452a85038!8m2!3d51.524906!4d20.015021!16s%2Fg%2F11qqr87rln!19sChIJx-ykC9GFGUcROFCoUjTELG8?authuser=0&hl=pl&rclk=1
"Mokrogulska Beauty, Med&Spa - Instytut Kosmetologii i Modelowania Figury",661755459,Tomaszów Mazowiecki,,https://www.facebook.com/MokrogulskaBeauty/,,,58,4.9,4,nowy,"Brak własnej strony, aktywna: FB, 58 opinii Google 4.9 - dobry lead.","https://www.google.com/maps/place/Mokrogulska+Beauty,+Med%26Spa+-+Instytut+Kosmetologii+i+Modelowania+Figury/data=!4m7!3m6!1s0x4719852ca97c5b97:0xe28bfcb4f76fe7!8m2!3d51.5287953!4d20.0281159!16s%2Fg%2F11g0h2sl2q!19sChIJl1t8qSyFGUcR52_3tPyL4gA?authuser=0&hl=pl&rclk=1"
