Nisza,Nazwa firmy,Miasto,Telefon,Jakość biznesu (1-5),Czy mają stronę?,Odebrał?,Zainteresowany?,Kto dzwonił,Reminder,Kiedy dzwonić,Termin Google Meet (w),Notatki
Kosmetyczka,Kosmetologia Małgorzata Dolot SLOW AGING,Bełchatów,669766469,4,Nie,,,,,,,"brak www, aktywny FB, 20 opinii 5.0 - dzwonic pierwsi"
Kosmetyczka,Projekt WO!man Kosmetologia Estetyczna,Bełchatów,667555115,5,Tak,,,,,,,"ma wlasna strone www, 197 opinii 5.0"
Kosmetyczka,"Instytut Zdrowia i Urody YASUMI kosmetologia, masaże i SPA Bełchatów",Bełchatów,798214240,5,Tak,,,,,,,"ma wlasna strone www (siec YASUMI), 45 opinii 4.8"
Kosmetyczka,Studio Urody - The Beauty Space - Salon Kosmetyczny,Bełchatów,504307817,4,Nie,,,,,,,"domena beautyspace.pl zaparkowana (brak realnej strony), aktywny FB, 39 opinii 4.7 - dobry lead"
Kosmetyczka,Perfect look clinic Bełchatów,Bełchatów,730130112,5,Tak,,,,,,,"ma wlasna strone www, 25 opinii 4.8"
Kosmetyczka,Studio Urody Agnieszka Chojecka,Bełchatów,501384330,5,Tak,,,,,,,"ma wlasna strone www, 43 opinie 4.6"
Kosmetyczka,"Veritas Derm. Kosmetologia Estetyczna. Depilacja laserowa, oczyszczanie wodorowe. Dermapen",Bełchatów,888634033,5,Tak,,,,,,,"ma wlasna strone www + FB/IG/Booksy, 58 opinii 5.0"
Kosmetyczka,La Femme Gabinet Kosmetyczny Justyna Iskra,Bełchatów,667213872,4,Nie,,,,,,,"brak www, aktywny Instagram, 37 opinii 4.8 - dobry lead"
Kosmetyczka,Studio VIVIEN Dorota Tóth,Bełchatów,609447652,5,Tak,,,,,,,"ma wlasna strone www, 58 opinii 4.7"
Kosmetyczka,Lilari Kosmetologia Rozpara Bełchatów,Bełchatów,570385900,4,Nie,,,,,,,"brak www, aktywne FB+IG (356 obserw.), 29 opinii 4.9 - dobry lead"
Kosmetyczka,Salon Kosmetyczny Magnolia,Bełchatów,509106309,4,Nie,,,,,,,"brak www, bardzo aktywny FB (1376 polubien), 10 opinii 4.9 - dobry lead"
