nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Dżanas-Fryzjer&Barber,511124551,Piotrków Trybunalski,,,,https://dzanasfryzjerbarber.booksy.com/,,4.9,,nowy,,https://www.google.com/maps/place/D%C5%BCanas-Fryzjer%26Barber/data=!4m7!3m6!1s0x8195c08728c6d521:0x92fda3a0c99b1cc!8m2!3d51.4014805!4d19.6927772!16s%2Fg%2F11k3x3j2zv!19sChIJIdXGKIfAlYERzLGZDDraLwk?authuser=0&hl=pl&rclk=1
"Studio fryzjerskie ""Wiktoria"" Błażej Adamus Piotrków Trybunalski",570450506,Piotrków Trybunalski,http://adamus-studio.pl/,,,,290,4.7,,nowy,,https://www.google.com/maps/place/Studio+fryzjerskie+%22Wiktoria%22+B%C5%82a%C5%BCej+Adamus+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198be2d943d3cf:0xa5e6ec0a28b34593!8m2!3d51.4088845!4d19.6883302!16s%2Fg%2F11tn0zcyrs!19sChIJz9ND2eKLGUcRk0WzKArs5qU?authuser=0&hl=pl&rclk=1
Barber Shop by Edyta,501955448,Piotrków Trybunalski,http://www.barbershoppiotrkow.pl/,,,,337,4.6,,nowy,,https://www.google.com/maps/place/Barber+Shop+by+Edyta/data=!4m7!3m6!1s0x47198a9b4524ec83:0x8b3e4a16c742c742!8m2!3d51.4077496!4d19.6726191!16s%2Fg%2F11g6nhq904!19sChIJg-wkRZuKGUcRQsdCxxZKPos?authuser=0&hl=pl&rclk=1
Gentelman Barber- Piotrków Tryb.,603660949,Piotrków Trybunalski,,https://www.facebook.com/Gentelman-Barber-Piotrk%C3%B3w-Tryb-102872691268844/,,,347,4.9,,nowy,,https://www.google.com/maps/place/Gentelman+Barber-+Piotrk%C3%B3w+Tryb./data=!4m7!3m6!1s0x471a2102294a1df1:0x89f9f2c36f4c2d3b!8m2!3d51.4110857!4d19.668059!16s%2Fg%2F11j8b4mzf0!19sChIJ8R1KKQIhGkcROy1Mb8Py-Yk?authuser=0&hl=pl&rclk=1
GRANDA BARBER SHOP Piotrków Trybunalski,793734224,Piotrków Trybunalski,,,,,6,5.0,,nowy,,https://www.google.com/maps/place/GRANDA+BARBER+SHOP+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198b92202c30e7:0xe98f8abc15e879ba!8m2!3d51.4106604!4d19.6850341!16s%2Fg%2F11njvgj34c!19sChIJ5zAsIJKLGUcRunnoFbyKj-k?authuser=0&hl=pl&rclk=1
Happy Hair and Beauty,574430261,Radomsko,https://happyhairbeauty.pl/,,,,,5.0,,nowy,,https://www.google.com/maps/place/Happy+Hair+and+Beauty/data=!4m7!3m6!1s0x4717551f31fe3efd:0x809774a739a2ea67!8m2!3d51.0678139!4d19.4292153!16s%2Fg%2F11x8dbbwpn!19sChIJ_T7-MR9VF0cRZ-qiOad0l4A?authuser=0&hl=pl&rclk=1
Staromiejski Barbershop Radomsko,537278903,Radomsko,https://staromiejski.com/,,,,194,4.7,,nowy,,https://www.google.com/maps/place/Staromiejski+Barbershop+Radomsko/data=!4m7!3m6!1s0x4717551ac5f49d23:0x68083fe12e255d85!8m2!3d51.0671157!4d19.44738!16s%2Fg%2F11jbl5w4gh!19sChIJI530xRpVF0cRhV0lLuE_CGg?authuser=0&hl=pl&rclk=1
Studio fryzjerskie EuroFryz,888735920,Radomsko,,,,,103,4.8,,nowy,,https://www.google.com/maps/place/Studio+fryzjerskie+EuroFryz/data=!4m7!3m6!1s0x4717555894756b0d:0xd4fae8a9d394337b!8m2!3d51.0690651!4d19.4399559!16s%2Fg%2F1hjh3h875!19sChIJDWt1lFhVF0cRezOU06no-tQ?authuser=0&hl=pl&rclk=1
Studio Fryzjerskie STYL - Katarzyna Winer,602275867,Radomsko,,https://www.facebook.com/p/Studio-fryzjerskie-Styl-Katarzyna-Winer-100063519580629/,,,21,5.0,,nowy,,https://www.google.com/maps/place/Studio+Fryzjerskie+STYL+-+Katarzyna+Winer/data=!4m7!3m6!1s0x4719ffcbdd6e9c3b:0x2bd6e9b944e57bf!8m2!3d51.0725355!4d19.4357449!16s%2Fg%2F11w8pm0cbw!19sChIJO5xu3cv_GUcRv1dOlJtuvQI?authuser=0&hl=pl&rclk=1
Miejsce Obowiązkowe,518417116,C1,,,,https://booksy.com/pl-pl/105663_miejsce-obowiazkowe-barber-radomsko_barber-shop_25252_radomsko#ba_s=sh_1,91,4.9,,nowy,,https://www.google.com/maps/place/Miejsce+Obowi%C4%85zkowe/data=!4m7!3m6!1s0x47175506311dd9f5:0xaa9b84568768b59e!8m2!3d51.0636037!4d19.4456147!16s%2Fg%2F11qh7bs49z!19sChIJ9dkdMQZVF0cRnrVoh1aEm6o?authuser=0&hl=pl&rclk=1
